publication,domain,category,region,tier,priority
Bankless,bankless.com,Crypto Trade / Market,Global,,1
Crypto News,,Crypto Trade / Market,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),,3
Crypto Slate,,Crypto Trade / Market,LATAM (skip Argentina + Venezuela),,3
Unchained,unchainedcrypto.com,Crypto Trade / Market,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),,1
PYMNTS,pymnts.com,Fintech / Payments,Global,Trade Outlet Tier 4 (100k-500k),1
Finextra,finextra.com,Fintech / Payments,Global,Trade Outlet Tier 4 (100k-500k),1
Fintech Finance News,,Fintech / Payments,Global,Trade Outlet Tier 5 (Under 100k),3
The Paypers,,Fintech / Payments,Global,News Publication Tier 5 (Under 10M),3
FinTech Futures,,Fintech / Payments,EU,,3
Fintech Futures,fintechfutures.com,Fintech / Payments,EU,,1
Markets Media,,Institutional / Finance,Global,Trade Outlet Tier 5 (Under 100k),3
The New York Times,nytimes.com,Mainstream / Business,Global,News Publication Tier 1 (100M - 200M+),1
CNN,cnn.com,Mainstream / Business,Global,News Publication Tier 2 (50M-100M),1
Forbes,forbes.com,Mainstream / Business,Global,News Publication Tier 2 (50M-100M),1
Reuters,reuters.com,Mainstream / Business,Global,News Publication Tier 2 (50M-100M),1
CNBC,cnbc.com,Mainstream / Business,Global,News Publication Tier 3 (20M-50M),1
The Wall Street Journal,wsj.com,Mainstream / Business,Global,News Publication Tier 3 (20M-50M),1
The Washington Post,,Mainstream / Business,Global,News Publication Tier 3 (20M-50M),3
Fortune,fortune.com,Mainstream / Business,Global,News Publication Tier 3 (20M-50M),1
Bloomberg News,,Mainstream / Business,Global,News Publication Tier 4 (10M-20M),3
The Telegraph,,Mainstream / Business,Global,News Publication Tier 3 (20M-50M),3
POLITICO,,Mainstream / Business,Global,News Publication Tier 4 (10M-20M),3
Financial Times,ft.com,Mainstream / Business,Global,News Publication Tier 1 (100M - 200M+),1
CoinMarketCap,,Mainstream / Business,Global,Trade Outlet Tier 1 (5M-10M+),3
Cointelegraph,cointelegraph.com,Mainstream / Business,Global,Trade Outlet Tier 4 (100k-500k),1
CoinGape,,Mainstream / Business,Global,Trade Outlet Tier 4 (100k-500k),3
Coinpaper,,Mainstream / Business,Global,Trade Outlet Tier 4 (100k-500k),3
AP,apnews.com,Mainstream / Business,APAC,,1
Associated Press,apnews.com,Mainstream / Business,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,1
BBC,bbc.com,Mainstream / Business,EU,,1
Bloomberg,bloomberg.com,Mainstream / Business,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,1
Business Insider,businessinsider.com,Mainstream / Business,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,1
CNBC Africa,,Mainstream / Business,Africa,,3
CNBC Crypto World,,Mainstream / Business,Global,,3
CNN Business,,Mainstream / Business,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
Cointelegraph Brasil,,Mainstream / Business,LATAM (skip Argentina + Venezuela),,3
"Cointelegraph US, Brazil",,Mainstream / Business,LATAM (skip Argentina + Venezuela),,3
El Economista Mexico,,Mainstream / Business,LATAM (skip Argentina + Venezuela),,3
Forbes Advisor Canada,,Mainstream / Business,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
POLITICO Europe,,Mainstream / Business,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
Reuters Africa,,Mainstream / Business,Africa,,3
Reuters Germany,,Mainstream / Business,EU,,3
"SwissInfo.ch, BBC",,Mainstream / Business,EU,,3
TechCrunch,techcrunch.com,Mainstream / Business,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,1
The Financial Times,,Mainstream / Business,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
The Guardian,theguardian.com,Mainstream / Business,Global,,1
The Guardian UK,,Mainstream / Business,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
The Information,,Mainstream / Business,Global,,3
WSJ,,Mainstream / Business,LATAM (skip Argentina + Venezuela),,3
Washington Post,,Mainstream / Business,Global,,3
MSN,,Other / Watchlist,Global,News Publication Tier 2 (50M-100M),3
NDTV,,Other / Watchlist,Global,News Publication Tier 3 (20M-50M),3
Yahoo Finance,finance.yahoo.com,Other / Watchlist,Global,News Publication Tier 3 (20M-50M),1
NY Post,,Other / Watchlist,Global,News Publication Tier 3 (20M-50M),3
The Independent UK,,Other / Watchlist,Global,News Publication Tier 3 (20M-50M),3
Aol,,Other / Watchlist,Global,News Publication Tier 3 (20M-50M),3
Euronews,,Other / Watchlist,Global,News Publication Tier 3 (20M-50M),3
LA Times,,Other / Watchlist,Global,News Publication Tier 4 (10M-20M),3
Mint,,Other / Watchlist,Global,News Publication Tier 4 (10M-20M),3
U.S. News & World Report,,Other / Watchlist,Global,News Publication Tier 4 (10M-20M),3
NewsBreak,,Other / Watchlist,Global,News Publication Tier 4 (10M-20M),3
The Independent US,,Other / Watchlist,Global,News Publication Tier 4 (10M-20M),3
The Economic Times,,Other / Watchlist,Global,News Publication Tier 4 (10M-20M),3
CTV News,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Charlotte Business Journal,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
The Straits Times,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
The Irish Times,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
CP24,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Newsmax,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Barron's,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Deseret News,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Ground News,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
ABC News,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
ARY News,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Flipboard,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Financial Post,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Sherwood News,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Inkl,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Emirates 24/7,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Dnyuz,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
WN.com,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
IndexBox,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
The Daily Record,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Startup,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
e27,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
CNA,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Financial Promoter,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
Impact Newswire,,Other / Watchlist,Global,News Publication Tier 5 (Under 10M),3
AMB Crypto,,Other / Watchlist,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),,3
Abendzeitung,,Other / Watchlist,EU,,3
Agence France-Presse (AFP),,Other / Watchlist,EU,,3
Ars Technica,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
BILD,,Other / Watchlist,EU,,3
BTC ECHO,,Other / Watchlist,EU,,3
Barrons,barrons.com,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,1
Be In Crypto,,Other / Watchlist,Global,,3
Benzinga/Techopedia,,Other / Watchlist,EU,,3
Bilanz,,Other / Watchlist,EU,,3
Bitcoinist:NewsBTC,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
Blick,,Other / Watchlist,EU,,3
BlockBeats,,Other / Watchlist,APAC,,3
Boersen Zeitung,,Other / Watchlist,EU,,3
Business Today Egypt,,Other / Watchlist,Africa,,3
Börsen-Zeitung,,Other / Watchlist,EU,,3
CNET,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
Cadena Noticias Venezuela,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
Coin Academy,,Other / Watchlist,EU,,3
Coin Gabbar,,Other / Watchlist,APAC,,3
Coin Tribune,,Other / Watchlist,EU,,3
CoinCodex,,Other / Watchlist,EU,,3
"CoinSpeaker, U.Today",,Other / Watchlist,EU,,3
Coins.fr,,Other / Watchlist,EU,,3
Cointonaute,,Other / Watchlist,EU,,3
CriptoNoticias Panama,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
Crypto Briefing,cryptobriefing.com,Other / Watchlist,Global,,1
Crypto Daily,,Other / Watchlist,EU,,3
Crypto Facil,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
Crypto Valley Journal,,Other / Watchlist,EU,,3
CryptoGlobe,,Other / Watchlist,EU,,3
Cryptonaute,,Other / Watchlist,EU,,3
Daily Mail,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
DeFi Rate,,Other / Watchlist,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),,3
Der Spiegel,,Other / Watchlist,EU,,3
Der Tagesspiegel,,Other / Watchlist,EU,,3
Deutsche Welle (DW),,Other / Watchlist,EU,,3
Diario Bitcoin,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
Diario El Salvador,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
Die Welt,,Other / Watchlist,EU,,3
Die Zeit,,Other / Watchlist,EU,,3
Early Brief,,Other / Watchlist,Global,,3
EduBourse,,Other / Watchlist,EU,,3
FSTech,,Other / Watchlist,EU,,3
FT BRR,,Other / Watchlist,EU,,3
FinTech Magazine,,Other / Watchlist,EU,,3
Finance Feeds,,Other / Watchlist,EU,,3
FinanceFWD,,Other / Watchlist,EU,,3
Financial Afrik,,Other / Watchlist,Africa,,3
Financial News,,Other / Watchlist,EU,,3
Finews.com,,Other / Watchlist,EU,,3
Fintech Switzerland,,Other / Watchlist,EU,,3
Finyear,,Other / Watchlist,EU,,3
Focus,,Other / Watchlist,EU,,3
Frankfurter Allgemeine Zeitung,,Other / Watchlist,EU,,3
Futura,,Other / Watchlist,EU,,3
Futurism,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
Handelsblatt,,Other / Watchlist,EU,,3
Handelszeitung,,Other / Watchlist,EU,,3
Heise online,,Other / Watchlist,EU,,3
Inside World Football,,Other / Watchlist,Global,,3
Investor's Business Daily,,Other / Watchlist,Global,,3
Journal du Coin,,Other / Watchlist,EU,,3
Kryptoszene,,Other / Watchlist,EU,,3
La Nación Costa Rica,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
La Tribune,,Other / Watchlist,EU,,3
Le Figaro,,Other / Watchlist,EU,,3
Le Monde,,Other / Watchlist,EU,,3
Le Temps,,Other / Watchlist,EU,,3
Les Echos,,Other / Watchlist,EU,,3
MSN UK,,Other / Watchlist,EU,,3
Mariblock,,Other / Watchlist,Africa,,3
Market Watch,,Other / Watchlist,Global,,3
Marketplace,,Other / Watchlist,Global,,3
Money,,Other / Watchlist,Global,,3
Morocco World News,,Other / Watchlist,Africa,,3
NBC News,,Other / Watchlist,EU,,3
NPR,,Other / Watchlist,Global,,3
Neue Zürcher Zeitung,,Other / Watchlist,EU,,3
New York Post,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
Newsweek,,Other / Watchlist,Global,,3
Numerara,,Other / Watchlist,EU,,3
PCMag,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
Paypers,,Other / Watchlist,Global,,3
Portal do Bitcoin,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
Portla do Bitcon,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
SCMP,scmp.com,Other / Watchlist,APAC,,1
SCMP / The Korea Times,,Other / Watchlist,APAC,,3
Sifted,,Other / Watchlist,EU,,3
Sportico,,Other / Watchlist,Global,,3
Sueddeutsche Zeitung,,Other / Watchlist,EU,,3
Tages Anzeiger,,Other / Watchlist,EU,,3
Tamedia AG,,Other / Watchlist,EU,,3
Taz.de / Die Tageszeitung,,Other / Watchlist,EU,,3
Tech Crunch,,Other / Watchlist,EU,,3
Tech.co,,Other / Watchlist,EU,,3
Tech.eu,,Other / Watchlist,EU,,3
TechBullion,,Other / Watchlist,EU,,3
TechCabal,,Other / Watchlist,Africa,,3
TechRadar,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
The Athletic,,Other / Watchlist,Global,,3
The Big Whale,,Other / Watchlist,EU,,3
The Digital Banker,,Other / Watchlist,APAC,,3
The Hill,,Other / Watchlist,Global,,3
The Hustle,,Other / Watchlist,Global,,3
The Independent,,Other / Watchlist,EU,,3
The Indpendent,,Other / Watchlist,Global,,3
The Inquirer,,Other / Watchlist,Global,,3
The Motley Fool,,Other / Watchlist,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),,3
The Street,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
The Ticketing Business,,Other / Watchlist,Global,,3
The Times UK,,Other / Watchlist,EU,,3
The Toronto Star,,Other / Watchlist,Global,,3
The Verge,theverge.com,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,1
TheStreet,,Other / Watchlist,Global,,3
This is Money,,Other / Watchlist,EU,,3
This is Money Podcast,,Other / Watchlist,EU,,3
This is Money and Mail Online,,Other / Watchlist,EU,,3
Tom's Guide,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
Tribune de Genève,,Other / Watchlist,EU,,3
U.Today,,Other / Watchlist,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),,3
UKTN,,Other / Watchlist,EU,,3
USA Today,,Other / Watchlist,Global,,3
VICE,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
VentureBeat,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
Vulcan Post,,Other / Watchlist,APAC,,3
WIRED,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
WIRED Magazine,,Other / Watchlist,Global,,3
Watson News,,Other / Watchlist,EU,,3
Windows Report,,Other / Watchlist,EU,,3
WireCutter,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
WirtschaftsWoche,,Other / Watchlist,EU,,3
Yellow.com,,Other / Watchlist,Crypto (America/Global - these reporters do not need to be based in the region to cover the news),,3
ZDNet,,Other / Watchlist,Mainstream (America/Global - these reporters do not need to be based in the region to cover the news),,3
ZyCrypto,,Other / Watchlist,LATAM (skip Argentina + Venezuela),,3
Asianet News,,Regional / Emerging Markets,Global,News Publication Tier 5 (Under 10M),3
Africa Tech Summit Podcast,,Regional / Emerging Markets,Africa,,3
African Business Magazine,,Regional / Emerging Markets,Africa,,3
Be In Crypto Brazil,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
DealStreetAsia,,Regional / Emerging Markets,APAC,,3
Disrupt Africa,,Regional / Emerging Markets,Africa,,3
Disrupt Africa Podcast,,Regional / Emerging Markets,Africa,,3
El Financiero Mexico,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
Estadão (O Estado de S. Paulo) Brazil,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
Exame Brazil,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
Finews.asia,,Regional / Emerging Markets,APAC,,3
Fintech Africa,,Regional / Emerging Markets,Africa,,3
Fintech News Africa,,Regional / Emerging Markets,Africa,,3
Folha de S.Paulo Brazil,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
Forbs Africa,,Regional / Emerging Markets,Africa,,3
IT News Africa,,Regional / Emerging Markets,Africa,,3
InfoMoney Brazil,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
La Jornada Mexico,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
O Globo Brazil,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
Reforma Mexico,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
Tabasco HOY Mexico,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
Tech Africa News,,Regional / Emerging Markets,Africa,,3
Tech In Asia,,Regional / Emerging Markets,APAC,,3
Techpoint Africa,,Regional / Emerging Markets,Africa,,3
The Asian Banker,,Regional / Emerging Markets,APAC,,3
Valor Econômico Brazil,,Regional / Emerging Markets,LATAM (skip Argentina + Venezuela),,3
Sports Business Journal,,Sports / Prediction Markets,Global,,3
